Riding name,GRN,,,,LIB,,,,NDP,,,,PC,,,,"Total
voted","Total
eligible",Turnout,"# of
polls"
,Candidate,Votes,%,Dropped,Candidate,Votes,%,Dropped,Candidate,Votes,%,Dropped,Candidate,Votes,%,Dropped,,,,
Ajax,Stephen Leahy,1224,2.51%,1,Joe Dickson,12607,25.80%,0,Monique Hughes,15130,30.97%,0,Rod Phillips,19078,39.05%,0,48860,87641,55.75%,42
Algoma-Manitoulin,Justin Tilson,989,3.60%,1,Charles Fox,2272,8.27%,0,Michael Mantha,15995,58.25%,0,Jib Turner,6750,24.58%,0,27458,52315,52.49%,111
Aurora-Oak Ridges-Richmond Hill,Stephanie Duncan,1195,2.66%,1,Naheed Yaqubian,9718,21.60%,0,Katrina Sale,8116,18.04%,0,Michael Parsa,25214,56.03%,0,44998,79872,56.34%,54
Barrie-Innisfil,Bonnie North,3182,7.19%,1,Ann Hoggarth,5536,12.52%,0,Pekka Reinio,12644,28.59%,0,Andrea Khanjin,22112,49.99%,0,44231,79735,55.47%,36
Barrie-Springwater-Oro-Medonte,Keenan Aylwin,5354,11.72%,1,Jeff Kerk,6210,13.59%,0,Dan Janssen,12891,28.21%,0,Doug Downey,20445,44.75%,0,45689,77960,58.61%,68
Bay Of Quinte,Mark Daye,1730,3.43%,1,Robert Quaiff,7512,14.88%,0,Joanne Belanger,16067,31.83%,0,Todd Smith,24256,48.05%,0,50483,86265,58.52%,88
Beaches-East York,Debra Scott,2128,4.26%,1,Arthur Potts,13480,27.01%,0,Rima Berns-McGown,24064,48.21%,0,Sarah Mallo,9202,18.44%,0,49914,79485,62.80%,43
Brampton Centre,Laila Zarrabi Yan,1053,3.13%,1,Safdar Hussain,5825,17.34%,0,Sara Singh,12892,38.37%,0,Harjit Jaswal,12803,38.11%,0,33599,65483,51.31%,48
Brampton East,Raquel Fronte,500,1.33%,1,Parminder Singh,6245,16.62%,0,Gurratan Singh,17606,46.85%,0,Sudeep Verma,12631,33.61%,0,37579,71632,52.46%,30
Brampton North,Pauline Thornham,1366,3.45%,1,Harinder Malhi,8410,21.22%,0,Kevin Yarde,14877,37.55%,0,Ripudaman Dhillon,14380,36.29%,0,39624,75149,52.73%,33
Brampton South,Lindsay Falt,1472,3.86%,1,Sukhwant Thethi,7212,18.89%,0,Paramjit Gill,12919,33.85%,0,Prabmeet Sarkaria,15652,41.01%,0,38169,74751,51.06%,50
Brampton West,Julie Guillemet-Ackerman,999,2.63%,1,Vic Dhillon,7013,18.47%,0,Jagroop Singh,14461,38.09%,0,Amarjot Sandhu,14951,39.39%,0,37961,76981,49.31%,26
Brantford-Brant,Ken Burns,2707,4.72%,1,Ruby Toor,5439,9.49%,0,Alex Felsky,23459,40.93%,0,Will Bouma,24080,42.02%,0,57312,100130,57.24%,59
Bruce-Grey-Owen Sound,Don Marshall,2922,5.95%,1,Francesca Dobbyn,6041,12.30%,0,Karen Gventer,11817,24.06%,0,Bill Walker,26845,54.67%,0,49108,81299,60.40%,100
Burlington,Vince Fiorito,2828,4.48%,1,Eleanor McMahon,15515,24.60%,0,Andrew Drummond,18062,28.64%,0,Jane McKenna,25502,40.44%,0,63062,97780,64.49%,90
Cambridge,Michele Braniff,3018,6.27%,1,Kathryn McGarry,11191,23.25%,0,Marjorie Knight,15639,32.49%,0,Belinda Karahalios,17793,36.97%,0,48131,85921,56.02%,76
Carleton,Gordon Kubanek,1985,3.95%,1,Theresa Qadri,9768,19.44%,0,Courtney Potter,11308,22.50%,0,Goldie Ghamari,25798,51.33%,0,50256,78395,64.11%,38
Chatham-Kent-Leamington,Mark Vercouteren,1636,3.53%,1,Margaret Schleier Stahl,3736,8.06%,0,Jordan McGrail,16558,35.72%,0,Rick Nicholls,24070,51.92%,0,46358,80206,57.80%,96
Davenport,Kirsten Snider,1624,3.55%,1,Cristina Martins,8552,18.67%,0,Marit Stiles,27603,60.26%,0,Federico Sanchez,7370,16.09%,0,45803,78414,58.41%,52
Don Valley East,Mark Wong,917,2.53%,1,Michael Coteau,13011,35.94%,0,Khalid Ahmed,9927,27.42%,0,Denzil Minnan-Wong,11984,33.10%,0,36206,64585,56.06%,67
Don Valley North,Janelle Yanishewski,1015,2.52%,1,Shelley Carroll,12470,30.93%,0,Akil Sadikali,8431,20.91%,0,Vincent Ke,17913,44.44%,0,40312,74021,54.46%,86
Don Valley West,Morgan Bailey,1268,2.77%,1,Kathleen Wynne,17802,38.89%,0,Amara Possian,8620,18.83%,0,Jon Kieran,17621,38.49%,0,45777,72824,62.86%,53
Dufferin-Caledon,Laura Campbell,7011,12.53%,0,Bob Gordanier,6971,12.46%,1,Andrea Mullarkey,11381,20.34%,0,Sylvia Jones,29701,53.08%,0,55958,95474,58.61%,56
Durham,Michelle Corbett,2359,3.88%,1,Granville Anderson,10235,16.84%,0,Joel Usher,19249,31.66%,0,Lindsey Park,28569,46.99%,0,60793,98603,61.65%,60
Eglinton-Lawrence,Reuben DeBoer,1230,2.43%,1,Mike Colle,19532,38.67%,0,Robyn Vilde,9153,18.12%,0,Robin Martin,20284,40.15%,0,50515,80763,62.55%,77
Elgin-Middlesex-London,Bronagh Morgan,2049,3.88%,1,Carlie Forsythe,3857,7.30%,0,Amanda Stratton,16923,32.04%,0,Jeff Yurek,29264,55.40%,0,52823,86730,60.91%,74
Essex,Nancy Pancheshan,1853,3.45%,1,Kate Festeryga,3053,5.69%,0,Taras Natyshak,26054,48.53%,0,Chris Lewis,22731,42.34%,0,53691,92649,57.95%,59
Etobicoke Centre,Shawn Rizvi,1329,2.32%,1,Yvan Baker,19708,34.42%,0,Erica Kelly,10311,18.01%,0,Kinga Surma,24432,42.67%,0,57254,90179,63.49%,82
