district_number,district_name,votes,non_pcp_votes,party,GPO,NDP,LIB,PCP,pcp_lead,flip,votes_flip,party_flip
001,Ajax,48860.0,29782.0,PCP,1224.0,15130.0,12607.0,19078.0,-10704.0,True,29782,NON-PCP
002,Algoma—Manitoulin,29211.0,22068.0,NDP,1025.0,17105.0,2365.0,7143.0,-14925.0,True,22068,NON-PCP
003,Aurora—Oak Ridges—Richmond Hill,44998.0,19784.0,PCP,1195.0,8116.0,9718.0,25214.0,5430.0,False,44998,PCP
004,Barrie—Innisfil,44272.0,22151.0,PCP,3190.0,12661.0,5543.0,22121.0,-30.0,True,22151,NON-PCP
005,Barrie—Springwater—Oro-Medonte,45689.0,25244.0,PCP,5354.0,12891.0,6210.0,20445.0,-4799.0,True,25244,NON-PCP
006,Bay of Quinte,50442.0,26218.0,PCP,1730.0,16063.0,7511.0,24224.0,-1994.0,True,26218,NON-PCP
007,Beaches—East York,49914.0,40712.0,NDP,2128.0,24064.0,13480.0,9202.0,-31510.0,True,40712,NON-PCP
008,Brampton Centre,33598.0,20795.0,NDP,1053.0,12892.0,5825.0,12803.0,-7992.0,True,20795,NON-PCP
009,Brampton East,38495.0,25599.0,NDP,523.0,18062.0,6398.0,12896.0,-12703.0,True,25599,NON-PCP
010,Brampton North,39624.0,25244.0,NDP,1366.0,14877.0,8410.0,14380.0,-10864.0,True,25244,NON-PCP
011,Brampton South,38169.0,22517.0,PCP,1472.0,12919.0,7212.0,15652.0,-6865.0,True,22517,NON-PCP
012,Brampton West,37961.0,23010.0,PCP,999.0,14461.0,7013.0,14951.0,-8059.0,True,23010,NON-PCP
013,Brantford—Brant,58188.0,33751.0,PCP,2741.0,23802.0,5553.0,24437.0,-9314.0,True,33751,NON-PCP
014,Bruce—Grey—Owen Sound,49128.0,22254.0,PCP,2927.0,11837.0,6041.0,26874.0,4620.0,False,49128,PCP
015,Burlington,63055.0,37551.0,PCP,2828.0,18053.0,15515.0,25504.0,-12047.0,True,37551,NON-PCP
016,Cambridge,48131.0,30338.0,PCP,3018.0,15639.0,11191.0,17793.0,-12545.0,True,30338,NON-PCP
017,Carleton,50258.0,24460.0,PCP,1985.0,11308.0,9768.0,25798.0,1338.0,False,50258,PCP
018,Chatham-Kent—Leamington,46373.0,22295.0,PCP,1643.0,16558.0,3736.0,24078.0,1783.0,False,46373,PCP
019,Davenport,45819.0,38449.0,NDP,1624.0,27613.0,8558.0,7370.0,-31079.0,True,38449,NON-PCP
020,Don Valley East,36217.0,24233.0,LIB,917.0,9937.0,13012.0,11984.0,-12249.0,True,24233,NON-PCP
021,Don Valley North,40607.0,22561.0,PCP,1039.0,8476.0,12557.0,18046.0,-4515.0,True,22561,NON-PCP
022,Don Valley West,45777.0,28156.0,LIB,1268.0,8620.0,17802.0,17621.0,-10535.0,True,28156,NON-PCP
023,Dufferin—Caledon,55956.0,26252.0,PCP,7011.0,11381.0,6972.0,29704.0,3452.0,False,55956,PCP
024,Durham,60807.0,32232.0,PCP,2360.0,19253.0,10237.0,28575.0,-3657.0,True,32232,NON-PCP
025,Eglinton—Lawrence,49527.0,29528.0,PCP,1190.0,8985.0,19042.0,19999.0,-9529.0,True,29528,NON-PCP
026,Elgin—Middlesex—London,52767.0,23503.0,PCP,2029.0,16923.0,3857.0,29264.0,5761.0,False,52767,PCP
027,Essex,54503.0,31080.0,NDP,1920.0,26134.0,3026.0,23423.0,-7657.0,True,31080,NON-PCP
028,Etobicoke Centre,56825.0,32393.0,PCP,1329.0,10311.0,19708.0,24432.0,-7961.0,True,32393,NON-PCP
029,Etobicoke—Lakeshore,57839.0,35641.0,PCP,2101.0,18997.0,14036.0,22198.0,-13443.0,True,35641,NON-PCP
030,Etobicoke North,36306.0,17251.0,PCP,1026.0,9210.0,6601.0,19055.0,1804.0,False,36306,PCP
031,Flamborough—Glanbrook,51588.0,29134.0,PCP,2307.0,17630.0,7967.0,22454.0,-6680.0,True,29134,NON-PCP
032,Glengarry—Prescott—Russell,48690.0,28738.0,PCP,1427.0,10610.0,15409.0,19952.0,-8786.0,True,28738,NON-PCP
033,Guelph,64577.0,50493.0,GPO,29082.0,13929.0,6537.0,14084.0,-36409.0,True,50493,NON-PCP
034,Haldimand—Norfolk,50593.0,21704.0,PCP,2095.0,13609.0,4656.0,28889.0,7185.0,False,50593,PCP
035,Haliburton—Kawartha Lakes—Brock,57143.0,24737.0,PCP,2551.0,15142.0,5655.0,32406.0,7669.0,False,57143,PCP
036,Hamilton Centre,36575.0,30845.0,NDP,2102.0,23866.0,3982.0,5730.0,-25115.0,True,30845,NON-PCP
037,Hamilton East—Stoney Creek,44020.0,31336.0,NDP,1884.0,22518.0,5320.0,12684.0,-18652.0,True,31336,NON-PCP
038,Hamilton Mountain,44717.0,31826.0,NDP,2300.0,24406.0,4134.0,12891.0,-18935.0,True,31826,NON-PCP
039,Hamilton West—Ancaster—Dundas,55390.0,38201.0,NDP,2302.0,23921.0,10960.0,17189.0,-21012.0,True,38201,NON-PCP
040,Hastings—Lennox and Addington,44521.0,22147.0,PCP,1924.0,14441.0,5180.0,22374.0,227.0,False,44521,PCP
041,Humber River—Black Creek,30929.0,21562.0,NDP,485.0,11573.0,8642.0,9367.0,-12195.0,True,21562,NON-PCP
042,Huron—Bruce,52802.0,25156.0,PCP,1804.0,15326.0,7356.0,27646.0,2490.0,False,52802,PCP
043,Kanata—Carleton,53453.0,30364.0,PCP,2827.0,15592.0,9090.0,23089.0,-7275.0,True,30364,NON-PCP
044,Kenora—Rainy River,20071.0,10323.0,PCP,707.0,7493.0,2123.0,9748.0,-575.0,True,10323,NON-PCP
045,King—Vaughan,51461.0,22325.0,PCP,1754.0,7921.0,12012.0,29136.0,6811.0,False,51461,PCP
046,Kingston and the Islands,55644.0,41132.0,NDP,3574.0,21788.0,15312.0,14512.0,-26620.0,True,41132,NON-PCP
047,Kitchener Centre,47280.0,34200.0,NDP,3234.0,20512.0,9499.0,13080.0,-21120.0,True,34200,NON-PCP
048,Kitchener—Conestoga,42974.0,25969.0,PCP,2853.0,16319.0,6035.0,17005.0,-8964.0,True,25969,NON-PCP
049,Kitchener South—Hespeler,42483.0,25972.0,PCP,3198.0,15741.0,6335.0,16511.0,-9461.0,True,25972,NON-PCP
050,Lambton—Kent—Middlesex,50424.0,22518.0,PCP,1660.0,16800.0,3143.0,27906.0,5388.0,False,50424,PCP
051,Lanark—Frontenac—Kingston,50343.0,24149.0,PCP,2410.0,15339.0,5359.0,26194.0,2045.0,False,50343,PCP
052,Leeds—Grenville—Thousand Islands and Rideau Lakes,48969.0,18967.0,PCP,2347.0,9688.0,6543.0,30002.0,11035.0,False,48969,PCP
053,London—Fanshawe,45391.0,31872.0,NDP,2050.0,25272.0,3797.0,13519.0,-18353.0,True,31872,NON-PCP
054,London North Centre,54113.0,37412.0,NDP,2493.0,25757.0,8501.0,16701.0,-20711.0,True,37412,NON-PCP
055,London West,58996.0,41863.0,NDP,2211.0,32644.0,5847.0,17133.0,-24730.0,True,41863,NON-PCP
056,Markham—Stouffville,53846.0,27934.0,PCP,2153.0,10997.0,14007.0,25912.0,-2022.0,True,27934,NON-PCP
057,Markham—Thornhill,37548.0,18605.0,PCP,859.0,8010.0,9160.0,18943.0,338.0,False,37548,PCP
058,Markham—Unionville,46940.0,17635.0,PCP,996.0,7778.0,8456.0,29305.0,11670.0,False,46940,PCP
059,Milton,43789.0,25540.0,PCP,2200.0,9740.0,13064.0,18249.0,-7291.0,True,25540,NON-PCP
060,Mississauga Centre,43710.0,25850.0,PCP,1149.0,12046.0,11102.0,17860.0,-7990.0,True,25850,NON-PCP
061,Mississauga East—Cooksville,43405.0,25543.0,PCP,1498.0,9871.0,13123.0,17862.0,-7681.0,True,25543,NON-PCP
062,Mississauga—Erin Mills,47748.0,27791.0,PCP,1311.0,13098.0,12105.0,19957.0,-7834.0,True,27791,NON-PCP
063,Mississauga—Lakeshore,53199.0,30679.0,PCP,1572.0,9735.0,18636.0,22520.0,-8159.0,True,30679,NON-PCP
064,Mississauga—Malton,37611.0,22899.0,PCP,674.0,12351.0,7813.0,14712.0,-8187.0,True,22899,NON-PCP
065,Mississauga—Streetsville,47964.0,27085.0,PCP,1349.0,12393.0,12344.0,20879.0,-6206.0,True,27085,NON-PCP
066,Nepean,52957.0,29058.0,PCP,2739.0,15110.0,10383.0,23899.0,-5159.0,True,29058,NON-PCP
067,Newmarket—Aurora,52013.0,27200.0,PCP,1859.0,12405.0,11840.0,24813.0,-2387.0,True,27200,NON-PCP
